location_id,location_name,latitude,longitude
LOCATION:565,JULAU,2.5810683,111.3055806
LOCATION:591,MARUDI,4.1833,114.31667
LOCATION:574,MATU,2.70659,111.5009024
LOCATION:566,MERADONG,2.173648,111.4859702
LOCATION:570,SELANGAU,2.3819939,112.3575922
LOCATION:578,SONG,1.8100434,112.1928259
LOCATION:587,SUBIS,1.8131082,111.3517944
LOCATION:583,TATAU,2.6256245,112.8873536
LOCATION:589,TELANG USAN,1.5539524,110.3489813
LOCATION:582,BINTULU,3.33333,113.16667
LOCATION:577,KAPIT,1.83333,113.66667
LOCATION:592,LIMBANG,4.25,115.16667
LOCATION:586,MIRI,4.16667,113.91667
LOCATION:571,MUKAH,2.66667,112.25
LOCATION:567,SIBU,2.3,111.81667
LOCATION:484,BELURU,3.9833543,113.8198486
LOCATION:561,KABONG,1.8802208,111.0420782
LOCATION:569,KANOWIT,2.0,112.16667
LOCATION:594,LAWAS,4.8604,115.409
LOCATION:585,SEBAUH,3.1486401,113.2065161
LOCATION:553,SIMUNJAN,1.2028472,110.6241892
LOCATION:572,TANJUNG MANIS,2.2287788,111.2118119
LOCATION:557,BETONG,1.5,111.33333
LOCATION:767,KELANG,,
LOCATION:113,SABAK BERNAM,3.58333,101.11667
LOCATION:112,PETALING,3.10726,101.60671
LOCATION:111,KUALA SELANGOR,3.33333,101.25
LOCATION:110,KUALA LANGAT,2.8,101.4
LOCATION:108,HULU SELANGOR,3.5,101.58333
LOCATION:107,HULU LANGAT,3.1137,101.8142
LOCATION:106,GOMBAK,3.3,101.7
LOCATION:109,KLANG,3.0430916,101.4413921
LOCATION:114,SEPANG,2.75,101.66667
LOCATION:121,SETIU,5.55008,102.73551
LOCATION:120,MARANG,5.2056,103.2059
LOCATION:119,KUALA TERENGGANU,5.3302,103.1408
LOCATION:118,KEMAMAN,4.1557225,103.3222106
LOCATION:117,HULU TERENGGANU,5.0773524,102.8202438
LOCATION:116,DUNGUN,4.775,103.4162
LOCATION:115,BESUT,5.57107,102.51911
LOCATION:436,KUALA NERUS,5.367765,103.033576
